FID;gid;wpl_id;gem_id;prov_id;pc6;woonplaats;wplnaam_un;gemeente;provincie;vlakken
12873;440836;1070;0014;20;9713EA;Groningen;Groningen;Groningen;Groningen;1
12874;440837;1070;0014;20;9713EB;Groningen;Groningen;Groningen;Groningen;1
12875;440838;1070;0014;20;9713EC;Groningen;Groningen;Groningen;Groningen;2
12876;440857;1070;0014;20;9713GC;Groningen;Groningen;Groningen;Groningen;1
12877;440839;1070;0014;20;9713ED;Groningen;Groningen;Groningen;Groningen;1
12878;440840;1070;0014;20;9713EE;Groningen;Groningen;Groningen;Groningen;2
12879;440841;1070;0014;20;9713EG;Groningen;Groningen;Groningen;Groningen;1
12880;440842;1070;0014;20;9713EH;Groningen;Groningen;Groningen;Groningen;1
12881;440843;1070;0014;20;9713EJ;Groningen;Groningen;Groningen;Groningen;1
12882;440844;1070;0014;20;9713EK;Groningen;Groningen;Groningen;Groningen;1
12883;440845;1070;0014;20;9713EL;Groningen;Groningen;Groningen;Groningen;1
12884;440846;1070;0014;20;9713EM;Groningen;Groningen;Groningen;Groningen;1
12885;440847;1070;0014;20;9713EN;Groningen;Groningen;Groningen;Groningen;2
12886;440858;1070;0014;20;9713GD;Groningen;Groningen;Groningen;Groningen;1
12887;440848;1070;0014;20;9713EP;Groningen;Groningen;Groningen;Groningen;1
12888;440849;1070;0014;20;9713ER;Groningen;Groningen;Groningen;Groningen;1
12889;440850;1070;0014;20;9713ES;Groningen;Groningen;Groningen;Groningen;1
12890;440851;1070;0014;20;9713EV;Groningen;Groningen;Groningen;Groningen;1
12896;440887;1070;0014;20;9713HP;Groningen;Groningen;Groningen;Groningen;1
12897;440859;1070;0014;20;9713GE;Groningen;Groningen;Groningen;Groningen;1
12898;440860;1070;0014;20;9713GG;Groningen;Groningen;Groningen;Groningen;1
12899;440861;1070;0014;20;9713GH;Groningen;Groningen;Groningen;Groningen;1
12900;440862;1070;0014;20;9713GJ;Groningen;Groningen;Groningen;Groningen;1
12901;440863;1070;0014;20;9713GK;Groningen;Groningen;Groningen;Groningen;1
